|                                       Parameters |                     0 |                     1 |   2 |                     3 |   4 |                    5 |                     6 |   7 |                      8 |   9 |                    10 |  11 |                    12 |                   13 |                    14 |                   15 |  16 |  17 |                    18 |  19 |                   20 |                  21 |  22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 |  33 |  34 |  35 |
|     HESS_J1825-137_gamma-cat_ecpl.spectral.index | 0.0008999999597668652 |                   0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                  0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| HESS_J1825-137_gamma-cat_ecpl.spectral.amplitude |                   0.0 | 2.499999980020986e-25 | 0.0 |                   0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                  0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
| HESS_J1825-137_gamma-cat_ecpl.spectral.reference |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                  0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|   HESS_J1825-137_gamma-cat_ecpl.spectral.lambda_ |                   0.0 |                   0.0 | 0.0 | 0.0001370434579122887 | 0.0 |                  0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                  0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|     HESS_J1825-137_gamma-cat_ecpl.spectral.alpha |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                  0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          HESS_J1825-137_hgps_ecpl.spectral.index |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 | 0.003909535465264347 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                  0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      HESS_J1825-137_hgps_ecpl.spectral.amplitude |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 | 8.149438274337298e-24 | 0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                  0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      HESS_J1825-137_hgps_ecpl.spectral.reference |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                  0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|        HESS_J1825-137_hgps_ecpl.spectral.lambda_ |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 | 0.00045667495837206987 | 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                  0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|          HESS_J1825-137_hgps_ecpl.spectral.alpha |                   0.0 |                   0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                   0.0 | 0.0 |                    0.0 | 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                  0.0 | 0.0 | 0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
