|                                              Parameters |                     0 |   1 |                 2 |                    3 |                     4 |                      5 |   6 |                     7 |                     8 |                     9 |                    10 |  11 |                   12 |                  13 |                    14 |  15 |                    16 |                   17 |                    18 |                     19 |  20 |                 21 |                     22 |  23 |     24 |                    25 |  26 |     27 |                     28 |  29 |                    30 |                    31 |  32 |
|             3FGL J0007.0+7302 (3fgl).spectral.amplitude | 4.478805084589826e-25 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|             3FGL J0007.0+7302 (3fgl).spectral.reference |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                  3FGL J0007.0+7302 (3fgl).spectral.ecut |                   0.0 | 0.0 | 178560.6654622592 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|               3FGL J0007.0+7302 (3fgl).spectral.index_1 |                   0.0 | 0.0 |               0.0 | 0.002268105641350937 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|               3FGL J0007.0+7302 (3fgl).spectral.index_2 |                   0.0 | 0.0 |               0.0 |                  0.0 | 0.0019624805270047063 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|             4FGL J0007.0+7303 (4fgl).spectral.amplitude |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 | 1.0647212330886589e-26 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|             4FGL J0007.0+7303 (4fgl).spectral.reference |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|             4FGL J0007.0+7303 (4fgl).spectral.expfactor |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 | 0.0001371891332688259 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|               4FGL J0007.0+7303 (4fgl).spectral.index_1 |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 | 8.492369320020968e-05 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|               4FGL J0007.0+7303 (4fgl).spectral.index_2 |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0014365032473700468 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|             3FHL J0007.0+7303 (3fhl).spectral.amplitude |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 | 5.768446205611743e-23 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|             3FHL J0007.0+7303 (3fhl).spectral.reference |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                 3FHL J0007.0+7303 (3fhl).spectral.alpha |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 | 0.044239377324339024 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                  3FHL J0007.0+7303 (3fhl).spectral.beta |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 | 0.07067808048774626 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                     J0007+7303 (3PC).spectral.amplitude |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 | 9.874872444522295e-26 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                     J0007+7303 (3PC).spectral.reference |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                     J0007+7303 (3PC).spectral.expfactor |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 | 0.0002334693189470216 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                       J0007+7303 (3PC).spectral.index_1 |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 | 7.64370889299185e-05 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                       J0007+7303 (3PC).spectral.index_2 |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 | 0.0016626392930470107 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                 PSR J0007+7303 (2PC).spectral.amplitude |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 | 2.3012888750301994e-24 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                 PSR J0007+7303 (2PC).spectral.reference |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                      PSR J0007+7303 (2PC).spectral.ecut |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 | 30310.812125244178 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                   PSR J0007+7303 (2PC).spectral.index_1 |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 | 0.00025600002431869565 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                   PSR J0007+7303 (2PC).spectral.index_2 |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|     1LHAASO J0007+7303u (1LHAASO) (KM2A).spectral.index |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 | 0.0144 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
| 1LHAASO J0007+7303u (1LHAASO) (KM2A).spectral.amplitude |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 | 7.290000000000001e-34 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
| 1LHAASO J0007+7303u (1LHAASO) (KM2A).spectral.reference |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|     1LHAASO J0007+7303u (1LHAASO) (WCDA).spectral.index |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 | 0.0121 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
| 1LHAASO J0007+7303u (1LHAASO) (WCDA).spectral.amplitude |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 | 1.2321000000000004e-26 | 0.0 |                   0.0 |                   0.0 | 0.0 |
| 1LHAASO J0007+7303u (1LHAASO) (WCDA).spectral.reference |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
|                  VER J0006+729 (2013ApJ).spectral.index |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |   0.05096588183784456 | 5.100842985136607e-14 | 0.0 |
|              VER J0006+729 (2013ApJ).spectral.amplitude |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 | 5.100842985136607e-14 |  7.20197956248103e-26 | 0.0 |
|              VER J0006+729 (2013ApJ).spectral.reference |                   0.0 | 0.0 |               0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 |                   0.0 |                   0.0 | 0.0 |                  0.0 |                 0.0 |                   0.0 | 0.0 |                   0.0 |                  0.0 |                   0.0 |                    0.0 | 0.0 |                0.0 |                    0.0 | 0.0 |    0.0 |                   0.0 | 0.0 |    0.0 |                    0.0 | 0.0 |                   0.0 |                   0.0 | 0.0 |
